Jesse Ryder,22.46,148.22
Brad Hodge,35.62,121.28
Yusuf Pathan,28.3,140.8
Ravindra Jadeja,31.44,124.12
Dinesh Karthik,25.64,128.18
Robin Uthappa,26.4,126.32
Sunny Sohal,24.9,130.37
Manish Pandey,27.33,108.37
Johan Botha,46,116.16
Tillakaratne Dilshan,28.25,125.56
Bharath Chipli,25.88,121.76
Jean-Paul Duminy,20.5,117.82
Parthiv Patel,20.2,110.38
James Hopes,39.2,124.84
Daniel Christian,17.27,119.5
Saurabh Tiwary,23.38,99.47
Dwaraka Ravi Teja,26.29,127.78
Ross Taylor,36.2,119.08
Ashok Menaria,20,118.42
Naman Ojha,12.31,99.38
Irfan Pathan,18.75,108.7
Kieron Pollard,14.7,110.53
Mayank Agarwal,20.71,120.83
Eoin Morgan,15.67,120.51
Albie Morkel,23,135.29
Andrew Symonds,33.75,97.83
Aiden Blizzard,20,137.93
Ajinkya Rahane,20,122.45
Mithun Manhas,11.4,92.68
Yogesh Nagar,15.86,111
James Franklin,53.5,137.18
Ryan ten Doeschate,53.5,146.58
Cameron White,26,95.41
Harbhajan Singh,34,143.66
Davy Jacobs,15.33,104.55
Ryan McLaren,30,93.75
Srikkanth Anirudha,20.75,112.16
Travis Birt,15,129.31
Michael Klinger,18.25,94.81
Manvinder Bisla,14.4,80.9
Amit Mishra,17,138.78
Wriddhiman Saha,68,107.94
Mohnish Mishra,16.75,111.67
Tirumalsetti Suman,10.83,127.45
David Hussey,10.67,101.59
Abhishek Nayar,8.71,91.04
Abhishek Raut,20,103.45
Luke Pomersbach,12.75,130.77
Mitchell Marsh,25,102.04
Sourav Ganguly,25,84.75
Vinay Kumar,8.33,106.38
Amit Paunikar,12.25,85.96
Callum Ferguson,24,88.89
Piyush Chawla,16,87.27
Aaron Finch,7.83,102.17
Mandeep Singh,11.75,114.63
Raiphi Gomez,9.2,92
VVS Laxman,14.67,104.76
Sunny Singh,10.75,138.71
Graeme Smith,10.5,82.35
Mohammad Kaif,13.67,124.24
Morne Morkel,20,160
Stuart Binny,37,119.35
Wayne Parnell,12.33,94.87
Dale Steyn,9,102.86
Cheteshwar Pujara,11.33,109.68
Asad Pathan,8.25,206.25
Ryan Harris,6.2,79.49
Shakib Al Hasan,14.5,131.82
Shreevats Goswami,7.25,100
Ishank Jaggi,14,75.68
Praveen Kumar,9,87.1
Abhimanyu Mithun,9,135
Chris Gayle,61.08,160.75
Gautam Gambhir,36.88,143.55
Shikhar Dhawan,40.64,129.61
Ajinkya Rahane,40,129.33
Virender Sehwag,33,161.24
Cameron White,43.55,149.69
Rahul Dravid,28.88,112.14
Suresh Raina,25.94,135.69
Rohit Sharma,30.93,126.61
Mandeep Singh,27,126.32
Jacques Kallis,25.56,106.51
Robin Uthappa,27,118.08
Faf du Plessis,33.17,130.92
David Hussey,33,129.84
Dwayne Bravo,46.38,140.53
Virat Kohli,28,111.66
Steven Smith,40.22,135.58
MS Dhoni,29.83,128.78
Owais Shah,37.78,132.81
Shaun Marsh,30.55,120
Murali Vijay,25.85,125.84
Mahela Jayawardene,27.92,112.42
Ambati Rayudu,37,132.14
Sachin Tendulkar,29.45,114.49
AB de Villiers,39.88,161.11
Kevin Pietersen,61,147.34
Brendon McCullum,24.08,102.12
Tillakaratne Dilshan,35.62,109.2
Sourav Ganguly,17.87,98.89
Michael Hussey,32.62,110.59
Manoj Tiwary,26,105.69
David Warner,36.57,164.1
Jesse Ryder,25.6,120.75
Shane Watson,42.5,151.79
Naman Ojha,23.18,113.84
Brad Hodge,30.62,140
Jean-Paul Duminy,81.33,128.42
Dinesh Karthik,18.31,111.74
Mayank Agarwal,20.45,142.41
Ashok Menaria,20,108.91
James Franklin,24.44,98.65
Kieron Pollard,24.44,138.36
Manvinder Bisla,30.43,133.12
Kumar Sangakkara,18.18,108.7
Ross Taylor,19.7,115.2
S Badrinath,28,108.29
Parthiv Patel,17.64,117.58
Yusuf Pathan,19.4,114.79
Saurabh Tiwary,23.88,112.35
Ravindra Jadeja,15.92,126.49
Azhar Mahmood,23.25,130.99
Irfan Pathan,25.14,139.68
Adam Gilchrist,34.4,120.28
Dwayne Smith,39.25,160.2
Yogesh Nagar,30.4,114.29
Daniel Christian,29,122.88
Manish Pandey,20.43,127.68
Nitin Saini,14,99.29
Venugopal Rao,22,104.76
Angelo Mathews,18.14,117.59
Debabrata Das,42,135.48
Marlon Samuels,17.71,100.81
Mithun Manhas,30,125
Daniel Harris,27.75,109.9
Harbhajan Singh,12,135
Albie Morkel,15.29,157.35
Piyush Chawla,13.25,120.45
David Miller,32.67,130.67
Michael Clarke,16.33,104.26
Shakib Al Hasan,15.17,122.97
Stuart Binny,22.5,134.33
Anustup Majumdar,21.75,114.47
Gurkeerat Singh Mann,28.67,165.38
Richard Levi,13.83,113.7
Herschelle Gibbs,40.5,92.05
Laxmi Shukla,12.5,131.58
Akshath Reddy,24.33,123.73
Bipul Sharma,24,153.19
Shreevats Goswami,13.8,102.99
Vinay Kumar,13.6,109.68
Siddharth Chitnis,22,106.45
Johan Botha,14.5,107.41
Aaron Finch,27.5,107.84
Lasith Malinga,9.17,103.77
Callum Ferguson,12.5,79.37
Andre Russell,23.5,180.77
Andrew McDonald,23.5,134.29
Abhishek Nayar,15,91.84
Brett Lee,21,210
Bhuvneshwar Kumar,13.33,100
Kevon Cooper,19,190
Bharath Chipli,12.33,105.71
Unmukt Chand,18,105.88
Pawan Negi,18,124.14
Praveen Kumar,11.67,116.67
Rajat Bhatia,11.67,125
Ashish Reddy,8.75,120.69
Robin Peterson,10.67,106.67
Daniel Vettori,7.75,119.23
Paul Valthaty,5,58.82
Michael Hussey,52.36,129.51
Chris Gayle,59,156.29
Virat Kohli,45.29,138.73
Suresh Raina,42.15,150.14
Shane Watson,38.79,142.89
Rohit Sharma,38.43,131.54
Dinesh Karthik,28.33,124.09
Ajinkya Rahane,34.86,106.55
Rahul Dravid,29.44,110.82
MS Dhoni,41.91,162.9
Aaron Finch,32.57,135.71
Robin Uthappa,27.12,116.98
Kieron Pollard,42,149.47
David Miller,59.71,164.57
Dwayne Smith,32.15,122.58
David Warner,31.54,126.93
Gautam Gambhir,25.44,118.66
AB de Villiers,36,164.38
Yusuf Pathan,30.18,138.33
