Doug Bollinger,7,16.59
RP Singh,7,23.08
Brad Hodge,7,9.43
Jacques Kallis,7.08,20.57
Ishant Sharma,7.14,24
Pragyan Ojha,7.25,22.1
Wayne Parnell,7.26,19.56
Ravindra Jadeja,7.26,31.5
Suresh Raina,7.35,41.25
Dhawal Kulkarni,7.45,24
Brett Lee,7.46,54.4
Shahbaz Nadeem,7.47,28.5
Vinay Kumar,7.5,22.33
Praveen Kumar,7.5,27.6
Irfan Pathan,7.51,25
Amit Singh,7.54,19
Morne Morkel,7.56,19.85
Shrikant Wagh,7.56,24
Harmeet Singh,7.57,14
Shadab Jakati,7.58,26.5
Muttiah Muralitharan,7.63,57
Charl Langeveldt,7.64,13.2
Daniel Christian,7.66,24.91
Alfonso Thomas,7.69,21
Suraj Randiv,7.69,29
Jesse Ryder,7.7,23
Zaheer Khan,7.71,25.29
Dirk Nannes,7.75,12
Paul Valthaty,7.82,20.71
Dwayne Bravo,7.85,20
Murali Kartik,7.9,126
Thisara Perera,7.93,42
Jean-Paul Duminy,7.94,27
Sreenath Aravind,8,13.14
Jerome Taylor,8,19.5
Ashok Menaria,8.07,45
Piyush Chawla,8.13,15.5
Ryan Harris,8.13,17.62
Virat Kohli,8.18,51
Bhargav Bhatt,8.23,18.56
Raiphi Gomez,8.27,18
Lakshmipathy Balaji,8.34,26.7
Aavishkar Salvi,8.38,16
Jaydev Unadkat,8.39,18
Abu Nechim,8.45,24
JS Mohammad,8.47,18
Albie Morkel,8.49,18
Kieron Pollard,8.49,25.5
Siddharth Trivedi,8.49,21.4
James Hopes,8.5,27.43
Ajit Agarkar,8.56,20.25
Shaun Tait,8.56,14.83
Nuwan Kulasekara,8.67,18
Tim Southee,8.74,28.5
Prasanth Parameswaran,8.74,23.5
Ashok Dinda,8.94,20.4
Tillakaratne Dilshan,9,72
Shalabh Srivastava,9.3,15
Ramesh Powar,9.33,36
Abhishek Nayar,9.34,30.5
Umesh Yadav,9.39,54
Abhimanyu Mithun,9.44,40.8
Manpreet Gony,9.44,13.5
James Franklin,9.73,20.33
Ryan McLaren,9.89,21.6
Anand Rajan,10,10
Andrew Symonds,10.25,24
Johan van der Wath,10.75,24
Ryan Ninan,10.83,12
Jacob Oram,11.25,24
Nayan Doshi,11.63,32
David Hussey,12.67,18
Yogesh Nagar,13.4,30
Lakshmipathy Balaji,5.4,16.36
Sunil Narine,5.48,14.79
Roelof van der Merwe,6,30
Laxmi Shukla,6,12
Michael Clarke,6.09,33
Wayne Parnell,6.1,25.2
Andrew McDonald,6.1,12
Dale Steyn,6.11,15.56
Ajit Chandila,6.14,16.8
Lasith Malinga,6.31,15.14
Abhishek Jhunjhunwala,6.33,36
Muttiah Muralitharan,6.5,16
Shakib Al Hasan,6.5,15
Ravichandran Ashwin,6.55,28.21
Iqbal Abdulla,6.55,33
Dimitri Mascarenhas,6.56,13.71
Shaun Tait,6.61,22.83
Nuwan Kulasekara,6.71,21
Daniel Vettori,6.74,42
Ankit Sharma,6.83,36.25
Ben Hilfenhaus,6.85,14.57
Praveen Kumar,6.89,42
Pawan Negi,6.91,18.86
Ashok Menaria,6.91,20
Shane Watson,7,23
David Hussey,7,18
Brad Hogg,7.03,21.6
Ashok Dinda,7.04,16
Shahbaz Nadeem,7.07,33.75
Harbhajan Singh,7.11,54
Morne Morkel,7.19,15.12
Bhuvneshwar Kumar,7.21,29.25
Ryan Harris,7.22,13.5
Johan Botha,7.24,27.33
Kevon Cooper,7.25,14.4
Siddharth Trivedi,7.31,24
Dwayne Smith,7.31,39
Rajat Bhatia,7.32,24.54
Pragyan Ojha,7.33,20
Glenn Maxwell,7.33,18
Piyush Chawla,7.35,21.38
Angelo Mathews,7.38,22.29
Murali Kartik,7.39,54
Umesh Yadav,7.43,19.26
Jacques Kallis,7.46,21.6
Suresh Raina,7.5,42
Marlon Samuels,7.53,21.5
Zaheer Khan,7.55,21.18
Azhar Mahmood,7.71,18.29
Irfan Pathan,7.75,45
RP Singh,7.76,24.6
Albie Morkel,7.78,22.85
Alfonso Thomas,7.79,28
Ravindra Jadeja,7.8,17.5
Stuart Binny,7.8,20
Munaf Patel,7.86,18.67
