Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,n,clustno
Shoaib Malik,234,7,5,1,52,24,13,47,110.63,0,0,5,0,0
Kane Williamson,157,8,8,1,155,50,22.14,149,104.02,0,1,15,1,0
Paul Collingwood,136,8,7,2,203,75,40.6,156,130.12,0,3,9,13,0
Scott Styris,167,12,10,3,131,36,18.71,133,98.49,0,0,10,3,0
P Prasanth,452,1,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Fleming,139,10,10,1,196,45,21.77,164,119.51,0,0,27,3,0
Usman Khawaja,171,6,6,0,127,30,21.16,100,127,0,0,14,3,0
Yuzvendra Chahal,399,43,4,4,2,1,0,2,100,0,0,0,0,0
RP Singh,235,82,30,15,52,10,3.46,76,68.42,0,0,2,1,0
Kedar Devdhar,444,1,0,0,0,0,0,0,0,0,0,0,0,0
TP Sudhindra,451,3,1,1,0,0,0,0,0,0,0,0,0,0
Gajendra Singh,420,4,0,0,0,0,0,0,0,0,0,0,0,0
Younis Khan,388,1,1,0,3,3,3,7,42.85,0,0,0,0,0
Beuran Hendricks,412,7,3,2,1,1,1,3,33.33,0,0,0,0,0
Shrikant Wagh,406,8,2,0,2,2,1,3,66.66,0,0,0,0,0
Vijay Zol,281,3,2,0,29,16,14.5,26,111.53,0,0,3,1,0
Samuel Badree,425,5,0,0,0,0,0,0,0,0,0,0,0,0
Tim Southee,244,26,8,3,47,25,9.4,32,146.87,0,0,3,2,0
Andrew McDonald,177,11,9,4,123,33,24.6,100,123,0,0,9,4,0
Nathan Rimmington,408,1,1,1,1,1,0,1,100,0,0,0,0,0
Parveez Rasool,322,11,5,3,17,10,8.5,20,85,0,0,1,0,0
Pawan Suyal,464,5,0,0,0,0,0,0,0,0,0,0,0,0
Bipul Sharma,155,26,14,7,156,35,22.28,99,157.57,0,0,9,8,0
RS Gavaskar,398,2,1,0,2,2,2,8,25,0,0,0,0,0
Shane Bond,415,8,1,0,1,1,1,2,50,0,0,0,0,0
Marcus Stoinis,161,7,5,1,146,52,36.5,108,135.18,0,1,13,4,0
Sohail Tanvir,269,11,5,2,36,13,12,29,124.13,0,0,3,1,0
Jimmy Neesham,250,4,3,0,42,22,14,46,91.3,0,0,3,1,0
Lakshmipathy Balaji,267,73,15,7,36,15,4.5,49,73.46,0,0,2,1,0
Srikkanth Anirudha,164,20,13,5,136,64,17,113,120.35,0,1,9,7,0
Syed Mohammad,282,11,5,3,29,13,14.5,26,111.53,0,0,4,0,0
DP Vijaykumar,411,9,2,2,1,1,0,1,100,0,0,0,0,0
Abrar Kazi,445,1,0,0,0,0,0,0,0,0,0,0,0,0
Davy Jacobs,198,7,7,0,92,32,13.14,98,93.87,0,0,10,4,0
Swapnil Singh,432,1,1,0,0,0,0,1,0,0,0,0,0,0
Juan Theron,353,10,4,2,10,7,5,12,83.33,0,0,1,0,0
WA Mota,229,12,8,2,56,25,9.33,75,74.66,0,0,2,0,0
Abhimanyu Mithun,272,16,8,3,34,11,6.8,26,130.76,0,0,4,1,0
Balachandra Akhil,215,15,11,5,76,27,12.66,55,138.18,0,0,5,5,0
GR Napier,327,1,1,0,15,15,15,16,93.75,0,0,1,0,0
Scott Boland,419,2,0,0,0,0,0,0,0,0,0,0,0,0
Sudeep Tyagi,394,14,3,2,3,3,3,4,75,0,0,0,0,0
Imran Tahir,315,20,5,1,18,5,4.5,23,78.26,0,0,3,0,0
Ben Rohrer,141,8,8,2,193,64,32.16,140,137.85,0,1,21,5,0
Jeevan Mendis,294,3,3,0,23,12,7.66,27,85.18,0,0,0,0,0
Michael Clarke,193,6,6,0,100,41,16.66,95,105.26,0,0,12,0,0
Vikramjeet Malik,364,13,2,1,7,6,7,7,100,0,0,1,0,0
Ali Murtaza,348,12,3,2,10,5,10,14,71.42,0,0,1,0,0
Arun Karthik,236,17,8,3,51,19,10.2,51,100,0,0,4,1,0
Tim Paine,352,2,2,0,10,8,5,26,38.46,0,0,0,0,0
RR Bose,442,1,0,0,0,0,0,0,0,0,0,0,0,0
Brad Haddin,318,1,1,0,18,18,18,11,163.63,0,0,2,1,0
Ishank Jaggi,249,5,5,1,43,25,10.75,58,74.13,0,0,3,0,0
Robin Peterson,277,5,5,2,32,16,10.66,30,106.66,0,0,3,1,0
Adrian Barath,251,3,3,1,42,33,21,42,100,0,0,5,1,0
Clint McKay,359,2,1,0,8,8,8,15,53.33,0,0,0,0,0
Joginder Sharma,268,16,6,2,36,16,9,30,120,0,0,1,2,0
RV Pawar,439,1,0,0,0,0,0,0,0,0,0,0,0,0
Sachin Rana,201,11,8,4,91,19,22.75,81,112.34,0,0,9,1,0
U Kaul,428,5,1,1,0,0,0,1,0,0,0,0,0,0
Bhuvneshwar Kumar,158,76,32,14,154,24,8.55,153,100.65,0,0,15,3,0
DT Patil,335,2,2,0,13,9,6.5,13,100,0,0,1,0,0
Ajit Chandila,381,12,2,2,4,4,0,7,57.14,0,0,0,0,0
Ashley Noffke,355,1,1,0,9,9,9,10,90,0,0,1,0,0
Brad Hogg,297,21,6,3,22,13,7.33,22,100,0,0,1,0,0
W Jaffer,168,8,8,0,130,50,16.25,121,107.43,0,1,14,3,0
Doug Bracewell,339,1,1,1,12,12,0,9,133.33,0,0,1,0,0
J Arunkumar,291,3,3,0,23,22,7.66,23,100,0,0,5,0,0
Tanmay Srivastava,361,7,3,2,8,7,8,11,72.72,0,0,0,0,0
Sachin Baby,178,15,7,1,122,33,20.33,86,141.86,0,0,9,5,0
RR Raje,304,10,5,4,20,11,20,18,111.11,0,0,1,1,0
Chris Lynn,202,5,5,1,89,45,22.25,80,111.25,0,0,6,4,0
Murali Kartik,185,56,16,9,113,21,16.14,108,104.62,0,0,7,1,0
Pat Cummins,448,4,1,0,0,0,0,2,0,0,0,0,0,0
Sunny Gupta,431,1,1,0,0,0,0,1,0,0,0,0,0,0
Ashish Nehra,255,82,20,13,41,22,5.85,62,66.12,0,0,3,1,0
Marchant de Lange,414,5,1,0,1,1,1,2,50,0,0,0,0,0
Rahul Shukla,312,7,4,3,19,14,19,23,82.6,0,0,2,0,0
Dirk Nannes,380,29,3,2,4,3,4,13,30.76,0,0,0,0,0
Mohammed Shami,343,31,10,5,11,5,2.2,27,40.74,0,0,0,0,0
Ankeet Chavan,338,13,3,1,12,7,6,11,109.09,0,0,2,0,0
Pradeep Sangwan,296,33,10,6,22,6,5.5,31,70.96,0,0,1,0,0
Varun Aaron,254,36,8,5,42,17,14,45,93.33,0,0,2,2,0
Chamara Kapugedera,325,5,3,0,16,8,5.33,23,69.56,0,0,0,0,0
Ryan McLaren,152,18,13,5,159,51,19.87,171,92.98,0,1,14,1,0
Tatenda Taibu,279,3,3,0,31,15,10.33,26,119.23,0,0,3,0,0
Anil Kumble,271,42,17,14,35,8,11.66,47,74.46,0,0,3,0,0
D du Preez,350,2,1,0,10,10,10,13,76.92,0,0,0,0,0
Rahul Sharma,222,44,20,6,66,14,4.71,75,88,0,0,5,3,0
Karanveer Singh,340,9,4,3,12,5,12,17,70.58,0,0,1,0,0
Glenn McGrath,384,14,3,2,4,4,4,5,80,0,0,1,0,0
Luke Ronchi,274,5,5,0,34,13,6.8,34,100,0,0,6,1,0
Mitchell McClenaghan,246,26,8,4,47,20,11.75,29,162.06,0,0,2,5,0
Dishant Yagnik,148,25,17,7,170,34,17,137,124.08,0,0,23,2,0
Harpreet Singh,300,4,3,1,20,13,10,26,76.92,0,0,0,0,0
P Dharmani,463,1,0,0,0,0,0,0,0,0,0,0,0,0
Thalaivan Sargunam,351,1,1,0,10,10,10,17,58.82,0,0,0,0,0
Umar Gul,261,6,4,1,39,24,13,19,205.26,0,0,1,5,0
Anirudh Singh,224,5,4,0,63,40,15.75,66,95.45,0,0,6,1,0
Gurinder Sandhu,416,3,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Ponting,200,10,9,0,91,28,10.11,128,71.09,0,0,5,2,0
Biplap Samantray,174,9,8,3,125,55,25,113,110.61,0,1,13,2,0
Dimitri Mascarenhas,214,13,11,2,79,27,8.77,78,101.28,0,0,5,1,0
Kamran Akmal,169,6,6,1,128,53,25.6,78,164.1,0,1,13,8,0
Shanthakumaran Sreesanth,275,44,14,10,34,15,8.5,55,61.81,0,0,6,0,0
Dinesh Salunkhe,276,6,3,1,33,26,16.5,24,137.5,0,0,5,0,0
Rob Quiney,192,7,7,0,103,51,14.71,102,100.98,0,1,12,3,0
Sandeep Sharma,307,43,9,8,19,7,19,29,65.51,0,0,1,0,0
Faiz Fazal,143,12,11,1,183,45,18.3,173,105.78,0,0,22,1,0
Anustup Majumdar,204,4,4,0,87,31,21.75,76,114.47,0,0,7,2,0
Jason Holder,263,11,5,0,38,16,7.6,31,122.58,0,0,4,2,0
Anureet Singh,319,19,6,3,18,10,6,31,58.06,0,0,0,1,0
Munaf Patel,258,61,14,9,39,23,7.8,40,97.5,0,0,5,0,0
SB Bangar,241,12,8,1,49,17,7,58,84.48,0,0,1,3,0
Sumit Narwal,264,7,4,1,37,23,12.33,27,137.03,0,0,6,0,0
Tanmay Mishra,417,1,0,0,0,0,0,0,0,0,0,0,0,0
Dhawal Kulkarni,205,66,18,11,85,28,12.14,93,91.39,0,0,5,2,0
Aditya Dole,273,3,2,0,34,30,17,22,154.54,0,0,3,1,0
Mitchell Marsh,132,20,14,2,225,38,18.75,196,114.79,0,0,9,14,0
Rishabh Pant,138,10,10,2,198,69,24.75,152,130.26,0,1,19,6,0
YA Abdulla,443,11,1,1,0,0,0,1,0,0,0,0,0,0
Pankaj Singh,365,17,5,3,7,4,3.5,12,58.33,0,0,0,0,0
Eklavya Dwivedi,288,4,2,0,24,19,12,14,171.42,0,0,2,2,0
Farhaan Behardien,332,3,3,1,14,9,7,13,107.69,0,0,2,0,0
Carlos Brathwaite,208,8,6,0,83,34,13.83,38,218.42,0,0,6,8,0
I Malhotra,367,1,1,1,7,7,0,4,175,0,0,1,0,0
John Hastings,460,3,0,0,0,0,0,0,0,0,0,0,0,0
Kuldeep Yadav,453,3,0,0,0,0,0,0,0,0,0,0,0,0
VS Yeligati,405,2,1,0,2,2,2,2,100,0,0,0,0,0
Dominic Thornely,260,6,4,2,39,30,19.5,53,73.58,0,0,2,2,0
Love Ablish,436,3,1,1,0,0,0,2,0,0,0,0,0,0
Parvinder Awana,375,33,7,5,5,4,2.5,14,35.71,0,0,0,0,0
SB Joshi,371,4,2,0,6,3,3,14,42.85,0,0,0,0,0
Abu Nechim,330,10,4,3,14,5,14,6,233.33,0,0,3,0,0
Shahbaz Nadeem,290,48,14,5,24,6,2.66,61,39.34,0,0,1,0,0
Brett Lee,176,38,19,9,124,25,12.4,97,127.83,0,0,8,8,0
Colin Ingram,299,3,3,1,21,13,10.5,26,80.76,0,0,2,0,0
Nitish Rana,190,4,3,0,104,70,34.66,75,138.66,0,1,7,8,0
Alfonso Thomas,302,15,4,2,20,12,10,19,105.26,0,0,1,1,0
Ben Laughlin,377,2,2,1,4,4,4,9,44.44,0,0,0,0,0
Pinal Shah,199,16,10,2,92,29,11.5,91,101.09,0,0,9,2,0
Shaun Pollock,160,13,8,0,147,33,18.37,111,132.43,0,0,12,8,0
Adam Voges,144,9,7,3,181,45,45.25,143,126.57,0,0,15,3,0
Daniel Harris,187,4,4,0,111,47,27.75,101,109.9,0,0,11,5,0
Andrew Flintoff,226,3,3,1,62,24,31,53,116.98,0,0,5,2,0
Ben Cutting,217,5,5,2,73,39,24.33,40,182.5,0,0,4,7,0
Doug Bollinger,298,27,4,3,21,16,21,23,91.3,0,0,1,1,0
Mohit Sharma,227,61,15,7,61,21,7.62,52,117.3,0,0,4,3,0
Ishan Kishan,253,5,5,0,42,27,8.4,41,102.43,0,0,5,0,0
Ankit Rajpoot,407,6,1,1,2,2,0,6,33.33,0,0,0,0,0
LPC Silva,256,3,3,1,40,23,20,26,153.84,0,0,5,1,0
Shahid Afridi,213,10,9,1,81,33,10.12,46,176.08,0,0,7,6,0
Tabraiz Shamsi,435,4,0,0,0,0,0,0,0,0,0,0,0,0
Abhinav Mukund,310,3,2,0,19,19,9.5,22,86.36,0,0,1,0,0
Manpreet Juneja,175,7,7,0,125,49,17.85,128,97.65,0,0,11,1,0
P Parameswaran,413,5,1,1,1,1,0,1,100,0,0,0,0,0
Shivnarine Chanderpaul,287,3,3,0,25,16,8.33,31,80.64,0,0,4,0,0
Bodapati Sumanth,270,5,4,3,35,16,35,37,94.59,0,0,3,0,0
Ravi Rampaul,237,12,7,2,51,23,10.2,50,102,0,0,3,2,0
Shalabh Srivastava,373,14,4,3,5,3,5,5,100,0,0,0,0,0
Harmeet Singh,430,1,0,0,0,0,0,0,0,0,0,0,0,0
Bhargav Bhatt,368,17,2,1,6,6,6,7,85.71,0,0,0,1,0
Colin Munro,280,4,3,0,30,16,10,30,100,0,0,3,0,0
Ishant Sharma,265,70,19,15,37,9,9.25,46,80.43,0,0,2,1,0
Makhaya Ntini,344,9,2,1,11,11,11,18,61.11,0,0,2,0,0
Peter Handscomb,369,2,1,0,6,6,6,12,50,0,0,0,0,0
Ryan Harris,183,37,21,9,117,17,9.75,112,104.46,0,0,6,3,0
Sam Billings,203,5,4,0,88,54,22,64,137.5,0,1,4,4,0
Shreyas Gopal,331,6,3,1,14,11,7,27,51.85,0,0,1,0,0
Aakash Chopra,233,7,6,0,53,24,8.83,71,74.64,0,0,7,0,0
Dale Steyn,150,90,35,13,166,19,7.54,158,105.06,0,0,14,3,0
Raiphi Gomez,238,13,9,4,50,26,10,51,98.03,0,0,5,1,0
Amit Paunikar,239,5,5,0,49,20,9.8,58,84.48,0,0,9,0,0
Deepak Chahar,447,2,0,0,0,0,0,0,0,0,0,0,0,0
Kane Richardson,266,14,4,1,36,26,12,39,92.3,0,0,2,1,0
Shoaib Akhtar,400,3,1,0,2,2,2,7,28.57,0,0,0,0,0
D Kalyankrishna,391,3,1,0,3,3,3,8,37.5,0,0,0,0,0
Darren Lehmann,317,2,2,0,18,17,9,18,100,0,0,3,0,0
Hashim Amla,154,6,6,0,157,96,26.16,119,131.93,0,1,20,4,0
JJ van der Wath,321,3,3,1,18,14,9,16,112.5,0,0,1,1,0
Kamran Khan,387,9,2,1,3,3,3,5,60,0,0,0,0,0
Nathan McCullum,286,2,2,1,26,15,26,22,118.18,0,0,0,1,0
Suraj Randiv,395,8,1,0,2,2,2,4,50,0,0,0,0,0
P Amarnath,440,6,0,0,0,0,0,0,0,0,0,0,0,0
Rilee Rossouw,232,5,5,0,53,24,10.6,51,103.92,0,0,3,3,0
Adam Zampa,461,5,1,0,0,0,0,1,0,0,0,0,0,0
Richard Levi,209,6,6,0,83,50,13.83,73,113.69,0,1,10,4,0
Roelof van der Merwe,153,21,15,4,159,35,14.45,141,112.76,0,0,11,8,0
Mustafizur Rahman,422,16,0,0,0,0,0,0,0,0,0,0,0,0
Ravichandran Ashwin,131,111,37,15,231,29,10.5,240,96.25,0,0,22,2,0
Salman Butt,142,7,7,0,193,73,27.57,161,119.87,0,1,30,2,0
T Thushara,337,6,4,2,12,8,6,18,66.66,0,0,0,0,0
Zaheer Khan,186,89,29,16,113,23,8.69,128,88.28,0,0,11,2,0
T Kohli,345,4,4,1,11,7,3.66,19,57.89,0,0,0,1,0
Ronit More,404,2,1,1,2,2,0,2,100,0,0,0,0,0
Callum Ferguson,196,9,8,2,98,23,16.33,117,83.76,0,0,9,0,0
KC Cariappa,334,6,2,1,13,12,13,11,118.18,0,0,0,1,0
RS Sodhi,382,3,1,1,4,4,0,2,200,0,0,1,0,0
Anand Rajan,450,8,0,0,0,0,0,0,0,0,0,0,0,0
Ramesh Powar,221,27,10,7,67,28,22.33,64,104.68,0,0,6,1,0
KP Appanna,402,14,3,2,2,1,2,4,50,0,0,0,0,0
Pawan Negi,135,29,19,7,209,36,17.41,161,129.81,0,0,16,9,0
Yogesh Takawale,191,5,5,0,104,45,20.8,91,114.28,0,0,17,1,0
Luke Wright,188,7,6,1,106,44,21.2,60,176.66,0,0,16,3,0
Nayan Doshi,454,4,1,0,0,0,0,13,0,0,0,0,0,0
Kevon Cooper,184,25,14,5,116,32,12.88,68,170.58,0,0,9,8,0
PM Sarvesh Kumar,409,2,1,1,1,1,0,2,50,0,0,0,0,0
Dilhara Fernando,383,10,2,2,4,2,0,3,133.33,0,0,0,0,0
Umesh Yadav,206,80,21,14,84,24,12,77,109.09,0,0,8,3,0
Ramnaresh Sarwan,219,4,4,0,73,31,18.25,75,97.33,0,0,6,1,0
Udit Birla,363,2,1,0,7,7,7,14,50,0,0,1,0,0
H Das,397,1,1,0,2,2,2,5,40,0,0,0,0,0
Shadab Jakati,283,57,8,7,28,13,28,29,96.55,0,0,3,0,0
Sunil Narine,245,66,18,11,47,13,6.71,54,87.03,0,0,2,2,0
Shaun Tait,293,21,5,2,23,11,7.66,26,88.46,0,0,1,1,0
Mohammad Ashraful,403,1,1,0,2,2,2,10,20,0,0,0,0,0
Morne Morkel,173,70,23,12,126,23,11.45,90,140,0,0,11,5,0
S Sriram,278,2,2,0,31,27,15.5,36,86.11,0,0,3,0,0
Harmeet Singh Bansal,320,27,6,2,18,14,4.5,12,150,0,0,3,0,0
Mohammad Asif,392,8,2,0,3,3,1.5,6,50,0,0,0,0,0
NK Patel,179,9,6,2,121,57,30.25,119,101.68,0,1,14,1,0
Veer Pratap Singh,427,9,1,0,0,0,0,1,0,0,0,0,0,0
Ajit Agarkar,145,42,22,12,179,39,17.9,154,116.23,0,0,13,5,0
Lasith Malinga,211,98,23,7,81,17,5.06,96,84.37,0,0,6,4,0
MF Maharoof,146,20,14,4,177,39,17.7,123,143.9,0,0,12,9,0
Rahul Tewatia,324,4,1,0,16,16,16,13,123.07,0,0,0,1,0
T Henderson,342,2,2,0,11,11,5.5,16,68.75,0,0,0,1,0
Travis Birt,216,5,5,0,75,27,15,58,129.31,0,0,9,2,0
Martin Guptill,228,3,3,0,57,48,19,55,103.63,0,0,3,3,0
Domnic Joseph,410,6,2,1,1,1,1,3,33.33,0,0,0,0,0
Jagadeesha Suchith,242,14,6,5,48,34,48,32,150,0,0,4,2,0
Abhishek Jhunjhunwala,134,21,16,3,217,53,16.69,210,103.33,0,1,19,5,0
Y Gnaneswara Rao,313,2,1,0,19,19,19,17,111.76,0,0,3,0,0
Adam Milne,438,1,0,0,0,0,0,0,0,0,0,0,0,0
Kemar Roach,349,2,1,0,10,10,10,9,111.11,0,0,1,0,0
Arindam Ghosh,362,2,2,0,7,7,3.5,8,87.5,0,0,1,0,0
Matthew Wade,295,3,3,0,22,11,7.33,33,66.66,0,0,0,0,0
Nitin Saini,163,10,10,0,140,50,14,141,99.29,0,1,16,0,0
S Vidyut,162,9,8,0,145,54,18.12,109,133.02,0,1,21,3,0
CM Gautam,149,13,13,3,169,33,16.9,150,112.66,0,0,17,6,0
Jaydev Unadkat,386,35,4,3,3,1,3,8,37.5,0,0,0,0,0
Pragyan Ojha,323,92,23,11,17,4,1.41,45,37.77,0,0,0,0,0
Amit Singh,401,23,5,1,2,1,0.5,10,20,0,0,0,0,0
Pradeep Sahu,311,5,2,1,19,18,19,13,146.15,0,0,1,1,0
Sreenath Aravind,284,28,4,4,27,14,0,17,158.82,0,0,5,0,0
Siddarth Kaul,354,11,3,3,9,7,0,11,81.81,0,0,0,0,0
Nathan Coulter-Nile,262,18,10,4,38,9,6.33,38,100,0,0,3,2,0
Barinder Sran,385,15,4,4,4,2,0,4,100,0,0,0,0,0
C Ganapathy,421,1,1,1,0,0,0,0,0,0,0,0,0,0
Sean Abbott,328,2,2,0,15,14,7.5,13,115.38,0,0,1,1,0
Siddharth Chitnis,194,11,8,1,99,38,14.14,89,111.23,0,0,10,2,0
Chaminda Vaas,212,13,11,3,81,20,10.12,73,110.95,0,0,2,3,0
Manpreet Gony,195,43,17,7,99,42,9.9,71,139.43,0,0,6,8,0
SS Mundhe,429,1,0,0,0,0,0,0,0,0,0,0,0,0
Shardul Thakur,366,1,1,1,7,7,0,6,116.66,0,0,1,0,0
Paras Dogra,170,13,12,1,127,41,11.54,138,92.02,0,0,4,5,0
Mitchell Johnson,166,43,25,12,131,16,10.07,136,96.32,0,0,7,6,0
Nic Maddinson,305,3,3,0,20,12,6.66,21,95.23,0,0,4,0,0
Akshdeep Nath,306,4,3,0,20,12,6.66,27,74.07,0,0,1,0,0
Andre Nel,457,1,1,0,0,0,0,0,0,0,0,0,0,0
Charl Langeveldt,358,7,2,0,8,8,4,9,88.88,0,0,0,1,0
David Wiese,172,15,8,4,127,47,31.75,90,141.11,0,0,12,4,0
Daniel Vettori,180,34,17,9,121,29,15.12,113,107.07,0,0,11,2,0
Kushal Janith Perera,333,2,2,0,14,14,7,13,107.69,0,0,3,0,0
VRV Singh,378,19,2,0,4,4,2,3,133.33,0,0,1,0,0
Wayne Parnell,223,26,13,4,63,16,7,75,84,0,0,4,1,0
Amit Uniyal,379,2,2,1,4,4,4,7,57.14,0,0,0,0,0
MA Khote,289,4,3,1,24,9,12,22,109.09,0,0,2,1,0
K Goel,133,22,17,2,218,38,14.53,231,94.37,0,0,17,9,0
DJ Muthuswami,116,22,7,4,9,4,3,15,60,0,0,0,5,0
AN Ahmed,11,53,26,0,164,20,10.93,131,125.19,0,0,10,9,0
