Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Francois du Plessis,321,51,1,1,16,0,0/0,0,16,0,0,0,1
K Goel,300,22,6,11,93,0,0/0,0,8.45,0,0,0,1
Marcus Stoinis,159,7,7,23,194,8,4/15,24.25,8.43,17.25,1,0,1
Mashrafe Mortaza,317,1,1,4,58,0,0/58,0,14.5,0,0,0,1
Mithun Manhas,286,55,3,7,42,0,0/0,0,6,0,0,0,1
Swapnil Singh,303,1,1,3,29,0,0/29,0,9.66,0,0,0,1
SB Joshi,265,4,4,9.1,82,1,1/27,82,8.94,55,0,0,1
D Kalyankrishna,249,3,3,8,87,2,1/30,43.5,10.87,24,0,0,1
MA Khote,247,4,2,5,51,2,2/29,25.5,10.2,15,0,0,1
Abhishek Raut,296,22,6,7,57,0,0/0,0,8.14,0,0,0,1
Paul Collingwood,187,8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0,1
Raiphi Gomez,192,13,9,16,129,5,2/14,25.8,8.06,19.2,0,0,1
Adam Voges,299,9,7,9,76,0,0/0,0,8.44,0,0,0,1
SB Bangar,211,12,9,25,219,4,2/34,54.75,8.76,37.5,0,0,1
I Malhotra,329,1,1,1,23,0,0/23,0,23,0,0,0,1
Luke Wright,248,7,6,11.5,124,2,1/12,62,10.47,35.5,0,0,1
S Sriram,322,2,2,3,49,0,0/0,0,16.33,0,0,0,1
Sachin Rana,288,11,3,2.4,18,0,0/0,0,6.75,0,0,0,1
Dwaraka Ravi Teja,267,32,2,3,28,1,0/0,28,9.33,18,0,0,1
Aaron Finch,268,52,5,7.1,67,1,1/11,67,9.34,43,0,0,1
RR Raje,183,10,10,23.1,209,6,2/16,34.83,9.02,23.16,0,0,1
Jayant Yadav,201,8,8,24,154,4,1/8,38.5,6.41,36,0,0,1
Kyle Abbott,251,5,5,16,177,2,1/38,88.5,11.06,48,0,0,1
SM Harwood,220,3,3,10,73,3,2/25,24.33,7.3,20,0,0,1
Tirumalasetti Suman,178,43,11,25,197,6,2/14,32.83,7.88,25,0,0,1
T Henderson,258,2,2,6,40,1,1/30,40,6.66,36,0,0,1
Ashok Menaria,223,29,12,18.2,144,3,2/20,48,7.85,36.66,0,0,1
Kamran Khan,148,9,9,26.4,224,9,3/18,24.88,8.4,17.77,0,0,1
Pawan Suyal,243,5,5,16,151,2,1/21,75.5,9.43,48,0,0,1
WA Mota,206,12,7,12,97,4,1/6,24.25,8.08,18,0,0,1
Pradeep Sahu,225,5,5,17.3,146,3,2/18,48.66,8.34,35,0,0,1
Ben Cutting,173,5,5,15.1,111,6,2/20,18.5,7.31,15.16,0,0,1
SS Mundhe,256,1,1,1,6,1,1/6,6,6,6,0,0,1
P Amarnath,172,6,6,22,236,7,2/29,33.71,10.72,18.85,0,0,1
Balachandra Akhil,177,15,13,31.2,242,6,2/17,40.33,7.72,31.33,0,0,1
Suryakumar Yadav,295,45,1,1,8,0,0/0,0,8,0,0,0,1
KC Cariappa,215,6,6,19,187,4,2/16,46.75,9.84,28.5,0,0,1
Shivam Sharma,209,5,5,19,165,4,2/26,41.25,8.68,28.5,0,0,1
Andrew McDonald,132,11,10,31,261,11,2/25,23.72,8.41,16.9,0,0,1
Rajagopal Sathish,228,34,14,23.1,232,3,1/11,77.33,10.01,46.33,0,0,1
RR Bose,314,1,1,2,24,0,0/24,0,12,0,0,0,1
Shivil Kaushik,180,7,7,23,192,6,3/20,32,8.34,23,0,0,1
Ajinkya Rahane,254,95,1,1,5,1,0/0,5,5,6,0,0,1
Nathan McCullum,289,2,2,5,34,0,0/0,0,6.8,0,0,0,1
Vijay Shankar,326,1,1,1,19,0,0/19,0,19,0,0,0,1
Kane Williamson,290,8,1,1,7,0,0/7,0,7,0,0,0,1
Michael Clarke,235,6,5,11,67,2,1/12,33.5,6.09,33,0,0,1
Shoaib Malik,246,7,5,8.3,85,2,1/6,42.5,10,25.5,0,0,1
Carlos Brathwaite,168,8,8,23.1,189,7,3/47,27,8.15,19.85,0,0,1
Aavishkar Salvi,165,7,7,25,200,7,2/19,28.57,8,21.42,0,0,1
DNT Zoysa,242,3,3,11,99,2,1/30,49.5,9,33,0,0,1
Ankit Rajpoot,213,6,6,15,133,4,1/14,33.25,8.86,22.5,0,0,1
Chamara Kapugedera,323,5,3,2.5,49,0,0/0,0,17.29,0,0,0,1
Krishnakant Upadhyay,302,3,3,9,81,0,0/0,0,9,0,0,0,1
Michael Neser,319,1,1,4,62,0,0/62,0,15.5,0,0,0,1
Sachithra Senanayake,141,8,8,32,209,9,2/26,23.22,6.53,21.33,0,0,1
Sachin Tendulkar,304,78,4,6,58,0,0/0,0,9.66,0,0,0,1
Virender Sehwag,186,104,15,22.4,235,6,2/18,39.16,10.36,22.66,0,0,1
Harmeet Singh,263,1,1,4,34,1,1/34,34,8.5,24,0,0,1
Umar Gul,125,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0,1
Amit Uniyal,250,2,2,6,66,2,2/41,33,11,18,0,0,1
Jeevan Mendis,260,3,2,5,36,1,1/16,36,7.2,30,0,0,1
Shane Bond,143,8,8,31,224,9,2/24,24.88,7.22,20.66,0,0,1
Bharat Chipli,327,23,1,1,20,0,0/0,0,20,0,0,0,1
Aditya Dole,198,3,3,11,112,5,2/36,22.4,10.18,13.2,0,0,1
Jimmy Neesham,271,4,4,9,91,1,1/29,91,10.11,54,0,0,1
P Prasanth,325,1,1,1,18,0,0/18,0,18,0,0,0,1
Marlon Samuels,145,10,9,32.4,250,9,3/39,27.77,7.65,21.77,0,0,1
Nuwan Kulasekara,188,6,5,17,120,5,2/10,24,7.05,20.4,0,0,1
PM Sarvesh Kumar,262,2,2,5,42,1,1/18,42,8.4,30,0,0,1
Nayan Doshi,240,4,4,9.2,79,2,1/15,39.5,8.46,28,0,0,1
Scott Boland,239,2,2,7,54,2,2/31,27,7.71,21,0,0,1
Shardul Thakur,284,1,1,3,38,1,1/38,38,12.66,18,0,0,1
RS Gavaskar,294,2,1,1,8,0,0/0,0,8,0,0,0,1
T Thushara,154,6,6,22.3,161,8,2/16,20.12,7.15,16.87,0,0,1
Lendl Simmons,279,22,1,3,34,1,0/0,34,11.33,18,0,0,1
Akshath Reddy,276,12,1,3,32,1,0/0,32,10.66,18,0,0,1
Charl Langeveldt,118,7,7,26,187,13,3/15,14.38,7.19,12,0,0,1
Adam Zampa,122,5,5,17,115,12,6/19,9.58,6.76,8.5,0,1,1
Krishmar Santokie,233,2,2,8,90,3,2/50,30,11.25,16,0,0,1
S Vidyut,278,9,1,2,22,1,0/0,22,11,12,0,0,1
John Hastings,219,3,3,9.4,66,3,2/6,22,6.82,19.33,0,0,1
Ryan Ninan,232,2,2,6,65,3,2/31,21.66,10.83,12,0,0,1
DP Vijaykumar,203,9,9,25.2,199,4,1/17,49.75,7.85,38,0,0,1
Ronit More,272,2,2,5.5,59,1,1/31,59,10.11,35,0,0,1
Ashley Noffke,270,1,1,4,40,1,1/40,40,10,24,0,0,1
Ryan ten Doeschate,237,29,10,13,94,2,1/7,47,7.23,39,0,0,1
Andre Nel,275,1,1,3,31,1,1/31,31,10.33,18,0,0,1
Ajit Chandila,130,12,12,39,242,11,4/13,22,6.2,21.27,1,0,1
Tabraiz Shamsi,227,4,4,16,147,3,1/21,49,9.18,32,0,0,1
Clint McKay,264,2,2,7,60,1,1/36,60,8.57,42,0,0,1
Sachin Baby,234,15,2,1.4,8,2,0/0,4,4.8,5,0,0,1
Beuran Hendricks,152,7,7,25,235,9,3/36,26.11,9.4,16.66,0,0,1
Shreyas Gopal,166,6,6,19.1,154,7,2/25,22,8.03,16.42,0,0,1
Ben Laughlin,273,2,2,7,71,1,1/25,71,10.14,42,0,0,1
JM Kemp,221,5,5,7.2,54,3,3/12,18,7.36,14.66,0,0,1
Deepak Chahar,298,2,2,5,41,0,0/0,0,8.2,0,0,0,1
Steve Smith,318,54,1,0.2,5,0,0/0,0,15,0,0,0,1
Y Gnaneswara Rao,291,2,1,1,7,0,0/0,0,7,0,0,0,1
Abrar Kazi,308,1,1,2,21,0,0/21,0,10.5,0,0,0,1
Ambati Rayudu,292,109,1,3,22,0,0/0,0,7.33,0,0,0,1
Mandeep Singh,261,59,1,3,23,1,0/0,23,7.66,18,0,0,1
Murali Vijay,297,100,4,6,49,0,0/0,0,8.16,0,0,0,1
Kemar Roach,307,2,2,8,80,0,0/0,0,10,0,0,0,1
Sunny Gupta,320,1,1,3,47,0,0/47,0,15.66,0,0,0,1
Daniel Harris,301,4,2,3,26,0,0/0,0,8.66,0,0,0,1
James Franklin,150,20,15,25.1,220,9,2/18,24.44,8.74,16.77,0,0,1
Shikhar Dhawan,208,113,6,8,66,4,1/7,16.5,8.25,12,0,0,1
Ross Taylor,313,55,2,2,24,0,0/0,0,12,0,0,0,1
Krunal Pandya,174,12,11,31.1,236,6,2/15,39.33,7.57,31.16,0,0,1
Hanuma Vihari,257,22,5,6,38,1,1/5,38,6.33,36,0,0,1
Nitish Rana,285,4,1,1,3,0,0/0,0,3,0,0,0,1
Shrikant Wagh,191,8,8,17,137,5,3/16,27.4,8.05,20.4,0,0,1
Adam Milne,277,1,1,4,43,1,1/43,43,10.75,24,0,0,1
Siddharth Chitnis,245,11,2,6,60,2,2/40,30,10,18,0,0,1
Andrew Flintoff,244,3,3,11,105,2,1/11,52.5,9.54,33,0,0,1
Dinesh Salunkhe,269,6,5,7.5,78,1,1/21,78,9.95,47,0,0,1
Dominic Thornely,218,6,4,7,40,3,2/7,13.33,5.71,14,0,0,1
Brett Geeves,280,2,2,8,91,1,1/50,91,11.37,48,0,0,1
Abdur Razzak,316,1,1,2,29,0,0/29,0,14.5,0,0,0,1
Marchant de Lange,195,5,5,18,169,5,3/34,33.8,9.38,21.6,0,0,1
Adam Gilchrist,252,80,1,0.1,0,1,1/0,0,0,1,0,0,1
Cameron White,283,47,6,7,86,1,1/14,86,12.28,42,0,0,1
C Ganapathy,315,1,1,1,13,0,0/13,0,13,0,0,0,1
JJ van der Wath,231,3,3,12,129,3,2/49,43,10.75,24,0,0,1
Ben Rohrer,312,8,1,1,12,0,0/0,0,12,0,0,0,1
Nathan Rimmington,287,1,1,3,19,0,0/19,0,6.33,0,0,0,1
Faiz Fazal,306,12,2,2,20,0,0/0,0,10,0,0,0,1
Gurinder Sandhu,274,3,2,8,82,1,1/33,82,10.25,48,0,0,1
Shoaib Akhtar,190,3,3,7,54,5,4/11,10.8,7.71,8.4,1,0,1
Shahid Afridi,144,10,10,30,225,9,3/28,25,7.5,20,0,0,1
AN Ahmed,155,2,8,1,99,0,10/83,21.8,7.78,31.88,0,0,1
